name,category,slot,use,set,tier,craft_role,crafting,resource_info,mining_info,theme,pack,slug,url
"Mine Shaft","structure","","Mine entrance build piece.","","","buildable structure","Built from plates / beams via the build menu.","Costs metal + power to build.","—","Mining & Game UI","mining-ops","mine-shaft","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-ops/mine-shaft.png"
"Load Cart","logistics","","Hauls mined ore to the surface.","","","buildable logistics","Built from plates / beams via the build menu.","—","Logistics — hauls mined ore from the dig site.","Mining & Game UI","mining-ops","load-cart","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-ops/load-cart.png"
"Drill Head","tool","tool","Drill bit — faster mining.","","","craftable recipe","Crafted at a Crafting Bench from refined alloy + components.","—","Mining tool — boosts dig speed & ore yield.","Mining & Game UI","mining-ops","drill-head","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-ops/drill-head.png"
"Dynamite","throwable","","Blasts rock & enemies.","","","craftable ordnance","Ordnance — crafted at an Explosives Bench from a casing + charge.","Single-use — consumed on use.","Demolition — clears rock fast for mining.","Mining & Game UI","mining-ops","dynamite","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-ops/dynamite.png"
"Support Beam","structure","","Braces tunnels to prevent cave-ins.","","","buildable structure","Built from plates / beams via the build menu.","Costs metal + power to build.","—","Mining & Game UI","mining-ops","support-beam","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-ops/support-beam.png"
"Ore Vein","material","","Mineable ore deposit.","","","gathered material","Gathered or salvaged, not crafted; used as a crafting ingredient.","Raw ore — smelt into ingots; stack 64.","Mineable deposit — drops raw resources when mined.","Mining & Game UI","mining-ops","ore-vein","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-ops/ore-vein.png"
"Boss Fight","ui-action","","Start a boss encounter.","","","ui action","UI action — not crafted.","—","—","Mining & Game UI","mining-ops","boss-fight","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-ops/boss-fight.png"
"Co-op Party","ui-action","","Form or join a co-op party.","","","ui action","UI action — not crafted.","—","—","Mining & Game UI","mining-ops","co-op-party","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-ops/co-op-party.png"
"PvP Toggle","ui-action","","Toggle player-vs-player combat.","","","ui action","UI action — not crafted.","—","—","Mining & Game UI","mining-ops","pvp-toggle","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-ops/pvp-toggle.png"
"Mission Log","ui-action","","Open the mission / quest log.","","","ui action","UI action — not crafted.","—","—","Mining & Game UI","mining-ops","mission-log","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-ops/mission-log.png"
"Projectile Launcher","weapon","weapon","Mounted projectile cannon.","","","craftable recipe","Crafted at a Crafting Bench from refined alloy + components.","—","—","Mining & Game UI","mining-ops","projectile-launcher","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-ops/projectile-launcher.png"
"AoE Blast","ui-action","","Area-of-effect attack ability.","","","ui action","UI action — not crafted.","—","Demolition — clears rock fast for mining.","Mining & Game UI","mining-ops","aoe-blast","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-ops/aoe-blast.png"
"Custom Hotkey","ui-action","","Bindable action hotkey.","","","ui action","UI action — not crafted.","—","—","Mining & Game UI","mining-ops","custom-hotkey","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-ops/custom-hotkey.png"
"Item Creator","station","","Craft custom items.","","","crafting station","Built from metal plates + a power cell; unlocks/levels recipes.","Costs metal + power to build.","—","Mining & Game UI","mining-ops","item-creator","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-ops/item-creator.png"
"Movement Pad","ui-action","","Directional movement control.","","","ui action","UI action — not crafted.","—","—","Mining & Game UI","mining-ops","movement-pad","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-ops/movement-pad.png"
"Boss Editor","ui-action","","Design boss enemies.","","","ui action","UI action — not crafted.","—","—","Mining & Game UI","mining-ops","boss-editor","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-ops/boss-editor.png"
"World Sync","ui-action","","Sync the multiplayer world.","","","ui action","UI action — not crafted.","—","—","Mining & Game UI","mining-ops","world-sync","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-ops/world-sync.png"
"Damage Log","ui-action","","Combat damage readout.","","","ui action","UI action — not crafted.","—","—","Mining & Game UI","mining-ops","damage-log","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-ops/damage-log.png"
"Resource Truck","logistics","","Transports bulk resources.","","","buildable logistics","Built from plates / beams via the build menu.","—","Logistics — hauls mined ore from the dig site.","Mining & Game UI","mining-ops","resource-truck","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-ops/resource-truck.png"
"Safety Gear","wearable","","Mining safety buff (helmet + goggles).","","","craftable recipe","Crafted at a Crafting Bench from refined alloy + components.","—","Mining safety / utility gear.","Mining & Game UI","mining-ops","safety-gear","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-ops/safety-gear.png"
"Explosive Charge","throwable","","Demolition charge.","","","craftable ordnance","Ordnance — crafted at an Explosives Bench from a casing + charge.","Single-use — consumed on use.","Demolition — clears rock fast for mining.","Mining & Game UI","mining-ops","explosive-charge","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-ops/explosive-charge.png"
"Elevator Winch","logistics","","Raises / lowers the mine elevator.","","","buildable logistics","Built from plates / beams via the build menu.","—","Logistics — hauls mined ore from the dig site.","Mining & Game UI","mining-ops","elevator-winch","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-ops/elevator-winch.png"
"Survey Map","navigation","","Reveals the surveyed area.","","","craftable utility","Crafted at a Fabricator from components.","—","—","Mining & Game UI","mining-ops","survey-map","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-ops/survey-map.png"
"Cave In","ui-action","","Rockfall hazard event.","","","ui action","UI action — not crafted.","—","—","Mining & Game UI","mining-ops","cave-in","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-ops/cave-in.png"
"Victory Haul","reward","","Loot reward chest.","","","reward (not craftable)","Awarded for quests / achievements — not crafted.","—","—","Mining & Game UI","mining-ops","victory-haul","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/mining-ops/victory-haul.png"
"Attack","ui-action","","Order units to attack.","","","ui action","UI action — not crafted.","—","—","RTS / RPG Command Actions","command-actions","attack","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/command-actions/attack.png"
"Move","ui-action","","Order a move.","","","ui action","UI action — not crafted.","—","—","RTS / RPG Command Actions","command-actions","move","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/command-actions/move.png"
"Stop","ui-action","","Halt current orders.","","","ui action","UI action — not crafted.","—","—","RTS / RPG Command Actions","command-actions","stop","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/command-actions/stop.png"
"Patrol","ui-action","","Set a patrol route.","","","ui action","UI action — not crafted.","—","—","RTS / RPG Command Actions","command-actions","patrol","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/command-actions/patrol.png"
"Hold","ui-action","","Hold position.","","","ui action","UI action — not crafted.","—","—","RTS / RPG Command Actions","command-actions","hold","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/command-actions/hold.png"
"Build","ui-action","","Construct a building.","","","ui action","UI action — not crafted.","—","—","RTS / RPG Command Actions","command-actions","build","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/command-actions/build.png"
"Inventory","ui-action","","Open the inventory.","","","ui action","UI action — not crafted.","—","—","RTS / RPG Command Actions","command-actions","inventory","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/command-actions/inventory.png"
"Defend","ui-action","","Defend a position.","","","ui action","UI action — not crafted.","—","—","RTS / RPG Command Actions","command-actions","defend","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/command-actions/defend.png"
"Retreat","ui-action","","Order a retreat.","","","ui action","UI action — not crafted.","—","—","RTS / RPG Command Actions","command-actions","retreat","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/command-actions/retreat.png"
"Charge","ui-action","","Charge command.","","","ui action","UI action — not crafted.","—","Demolition — clears rock fast for mining.","RTS / RPG Command Actions","command-actions","charge","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/command-actions/charge.png"
"Guard","ui-action","","Guard a unit or area.","","","ui action","UI action — not crafted.","—","—","RTS / RPG Command Actions","command-actions","guard","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/command-actions/guard.png"
"Explore","ui-action","","Scout the map.","","","ui action","UI action — not crafted.","—","Mineable deposit — drops raw resources when mined.","RTS / RPG Command Actions","command-actions","explore","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/command-actions/explore.png"
"Harvest","ui-action","","Gather resources.","","","ui action","UI action — not crafted.","—","—","RTS / RPG Command Actions","command-actions","harvest","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/command-actions/harvest.png"
"Trade","ui-action","","Open trade / market.","","","ui action","UI action — not crafted.","—","—","RTS / RPG Command Actions","command-actions","trade","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/command-actions/trade.png"
"Repair","ui-action","","Repair a unit / structure.","","","ui action","UI action — not crafted.","—","—","RTS / RPG Command Actions","command-actions","repair","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/command-actions/repair.png"
"Scout","ui-action","","Send a scout.","","","ui action","UI action — not crafted.","—","—","RTS / RPG Command Actions","command-actions","scout","https://9afbd236-7d37-4308-a43c-ac6aaeefcf0c-00-1ds7vdxuwq1ua.kirk.replit.dev/assets/ui/icons/command-actions/scout.png"
